               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11025,            0.020632,                   0,           0.0015459,             0.46377,           0.0024348,          0.00043109,            0.089547,            0.014858,                   0,            0.003268,            0.003268,            0.070588
                   1,            0.086093,            0.017966,                   0,           0.0030596,             0.91787,            0.059901,            0.011073,             0.07281,            0.012001,                   0,            0.006536,            0.006536,            0.040523
                   2,            0.073103,            0.017379,                   0,            0.086291,             0.24155,            0.060171,            0.014505,            0.078138,            0.010676,                   0,           0.0097379,           0.0097379,            0.010392
                   3,            0.064495,             0.01595,                   0,             0.35209,             0.48309,             0.37593,             0.13295,            0.054875,            0.011201,                   0,            0.009703,            0.009703,            0.009703
                   4,              0.0587,            0.014213,                   0,             0.41298,             0.39614,             0.36127,             0.12541,             0.05282,            0.010713,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.055052,            0.012709,                   0,             0.53463,             0.56522,             0.53308,             0.19521,            0.051666,           0.0090694,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.052572,            0.011854,                   0,             0.67946,             0.46377,             0.52537,             0.18507,            0.051599,           0.0089602,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.050862,              0.0116,                   0,             0.44776,              0.5288,             0.39505,             0.11444,            0.055308,             0.00857,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.050975,             0.01122,                   0,             0.70098,             0.57005,              0.6092,               0.244,            0.048431,           0.0083299,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.047786,            0.011227,                   0,             0.68098,               0.657,              0.6693,             0.24958,            0.047151,           0.0074915,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.048932,            0.010732,                   0,              0.6986,             0.61836,             0.66881,             0.26343,            0.047617,           0.0075766,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.046395,            0.010094,                   0,             0.75248,             0.65217,             0.71205,             0.27365,             0.04716,           0.0074386,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.047368,            0.010547,                   0,             0.71084,             0.54628,             0.59631,              0.2347,            0.054191,           0.0075149,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.045613,           0.0098139,                   0,               0.743,             0.59903,             0.70548,             0.26016,            0.046722,            0.007479,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.044358,           0.0094761,                   0,             0.76496,             0.61836,             0.67911,             0.25808,            0.048158,           0.0070964,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.043926,           0.0095431,                   0,             0.79033,             0.67377,             0.74471,             0.30712,            0.045836,           0.0067369,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.044279,           0.0097782,                   0,             0.73912,             0.62959,             0.69002,             0.26959,            0.048655,           0.0071644,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.043895,             0.00914,                   0,             0.71672,             0.68116,             0.73592,             0.31656,             0.04696,           0.0066044,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.042553,           0.0099377,                   0,             0.71679,             0.71498,             0.70853,             0.25188,            0.048045,           0.0069811,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.042789,            0.009154,                   0,             0.77601,             0.66667,             0.75228,             0.29926,            0.046656,           0.0067747,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.042686,           0.0092926,                   0,             0.77056,             0.69767,             0.73391,             0.29031,            0.045321,           0.0069541,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.041604,           0.0092667,                   0,             0.80238,             0.66688,             0.73994,             0.28623,            0.047575,           0.0071743,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.041634,           0.0091967,                   0,             0.72831,             0.62802,              0.6714,             0.25728,            0.049202,           0.0069185,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.042299,           0.0090749,                   0,             0.76529,             0.69307,             0.74478,             0.29808,            0.046177,           0.0070392,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.040896,           0.0088779,                   0,             0.68502,             0.68291,             0.67044,             0.28204,            0.046726,           0.0071333,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.039929,           0.0088457,                   0,             0.71432,             0.68854,             0.71416,             0.27205,            0.046985,           0.0071663,                   0,            0.007624,            0.007624,            0.007624
                  26,             0.03917,           0.0087034,                   0,             0.73153,             0.71498,             0.71978,             0.30274,            0.046552,           0.0069113,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.040819,            0.008577,                   0,             0.71997,             0.72947,             0.75704,             0.29769,            0.046404,           0.0066099,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.038133,           0.0089638,                   0,             0.77504,             0.75362,             0.75463,             0.30273,            0.044652,           0.0066141,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.038995,           0.0087103,                   0,             0.72507,             0.78992,             0.75415,             0.30979,            0.045867,           0.0061431,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.038594,           0.0085859,                   0,             0.77349,             0.71981,             0.73438,             0.30447,            0.044881,           0.0066018,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.037072,           0.0086324,                   0,             0.76177,             0.74879,             0.75756,               0.326,             0.04449,           0.0065794,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.037818,           0.0084778,                   0,             0.84168,             0.62802,             0.71351,             0.28108,            0.047057,           0.0069474,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.037075,           0.0080633,                   0,             0.83247,             0.68599,              0.7464,             0.30633,            0.046447,           0.0065465,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.036156,            0.008181,                   0,             0.82319,               0.657,             0.74292,             0.30172,            0.046098,            0.006713,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.037624,           0.0081217,                   0,             0.72857,             0.76329,              0.7469,             0.29748,            0.046195,           0.0063861,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.037169,           0.0083311,                   0,              0.7376,             0.74396,              0.7756,             0.30919,            0.045571,           0.0065574,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.035408,           0.0081629,                   0,             0.71522,             0.71845,             0.73875,             0.28808,            0.047098,           0.0068358,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.035569,           0.0079413,                   0,             0.81939,             0.72464,             0.78024,             0.34322,            0.044481,           0.0065693,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.035997,           0.0083811,                   0,             0.78485,             0.73913,             0.77969,             0.30639,            0.045242,           0.0063507,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.036043,           0.0078905,                   0,              0.8159,             0.73913,             0.78151,             0.31982,            0.045618,           0.0065508,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.035728,           0.0081646,                   0,             0.78756,             0.73428,              0.7636,             0.31712,            0.045899,           0.0066345,                   0,             0.00604,             0.00604,             0.00604
